Word	Occurrences	Reference
gliu                	1	MRK 16:5
go                  	1	2TI 2:16
goada               	22
goadaevelu          	1	PHM 1:7
goadai              	8
goadale             	3
goadalega           	1	2CO 3:4
goadalivelu         	2
goadalu             	1	ACT 9:19
goadate             	2
Goadate             	1	REV 5:5
goadatele           	1	ACT 5:38
goadatieve          	1	ROM 12:8
goadatilu           	1	LUK 22:43
goadavai            	1	ACT 27:36
goadave             	9
GOADAVE             	1	REV 2:10
goale               	1	REV 8:5
gob                 	1	LUK 18:4
gobavule            	1	LUK 6:44
gobe                	2
gobeabe             	1	ROM 8:36
gobeavai            	1	MAT 18:33
gobele              	2
gobelia             	1	1CO 7:32
gobeu               	1	REV 6:6
gobeve              	2
gobevela            	1	MAT 18:28
gobevele            	2
gobeveta            	1	LUK 17:2
gobeveu             	1	LUK 22:62
gobigobi            	1	MAT 13:42
gobigobia           	1	MRK 9:26
gobigobiage         	1	LUK 9:42
gobigobiagei        	1	MAT 13:50
gobigobiai          	3
gobu                	22
Gobu                	2
gobuke              	1	LUK 18:6
gobuvu              	12
Gobuvu              	1	1TI 5:13
gobuvuia            	3
gobuvuiale          	1	ACT 6:1
gobuvuta            	1	JAS 1:27
gobuvutea           	1	ACT 6:1
gobuvuvu            	1	LUK 4:25
godave              	1	REV 14:3
godio               	3
godiou              	1	ACT 8:7
goe                 	12
Goe                 	2
goea                	2
goeke               	1	MAT 17:5
goele               	2
Goele               	1	REV 14:15
goeta               	1	1CO 10:1
goeu                	6
Goeu                	1	REV 1:7
gogave              	2
gogea               	1	ACT 13:51
gogeabe             	1	MRK 6:42
gogi                	1	REV 20:8
gogo                	7
gogoea              	3
Gogoea              	1	REV 18:19
gogoeabe            	4
gogoeabeu           	4
gogoeaveu           	1	MAT 10:14
gogonia             	3
gogoniagelive       	1	JAS 1:4
gogoniai            	10
gogoniaive          	1	COL 2:15
gogoniale           	1	1JN 2:23
gogonialivelu       	1	ACT 14:22
gogonialu           	2
gogoniavalela       	1	JAS 1:13
gogoniave           	3
gogonige            	1	1TI 6:5
gogonigei           	1	ACT 10:28
gogonigelu          	1	ACT 23:7
gogou               	7
gogove              	1	MRK 7:19
gogoveu             	1	ACT 1:18
goiai               	1	MAT 5:30
gole                	2
goleleai            	1	MAT 9:20
golema              	18
golemaeabe          	1	ROM 11:8
golemaeabeu         	1	REV 13:9
golemale            	3
GOLEMANEU           	1	REV 2:11
golemate            	3
Golematogo          	1	MRK 7:37
golemau             	2
Golemau             	1	1CO 12:16
golemaule           	1	1CO 12:16
golemave            	6
golemavea           	1	MAT 13:43
golemavele          	1	JHN 19:3
golemaveu           	5
golemaveule         	1	MRK 4:28
golivu              	1	JHN 14:18
golivuta            	1	JAS 1:27
golo                	15
Golo                	1	REV 18:12
goloave             	1	JUD 1:19
gologolo            	1	GAL 6:9
gologoloai          	2
Gologota            	3
golole              	1	HEB 9:4
golota              	14
Golota              	1	HEB 9:4
golou               	4
goloule             	1	1PE 1:7
golulatela          	1	MAT 6:30
gomigomi            	1	MRK 11:17
gomigomia           	3
gomigomiai          	2
gomigomiavalela     	1	MRK 12:40
gomigomiavave       	1	MRK 13:18
Gomigomile          	1	MRK 13:37
GOMOLA              	2
Gomola              	5
gonateke            	1	MRK 5:5
gone                	3
gonela              	1	JHN 21:4
gonele              	9
goneo               	2
goneu               	2
gonia               	1	2TI 2:16
gosibolo            	1	MRK 8:35
govaai              	1	HEB 3:6
govada              	3
govadai             	2
govadala            	1	1CO 15:55
govaea              	2
guglele             	1	REV 19:14
guguai              	1	MAT 25:30
guguasege           	1	ACT 2:19
gugule              	1	1JN 2:11
guli                	8
guligevale          	1	MAT 8:28
guliguli            	30
Guliguli            	4
guligulia           	4
guliguliaeava       	1	JHN 4:24
guliguliaeviva      	1	JHN 4:22
guliguliage         	8
guliguliagei        	11
guliguliageve       	2
guliguliai          	63
guliguliaito        	2
guliguliale         	5
guligulialeu        	2
guligulialive       	3
guligulialivelu     	1	ACT 10:9
guligulialogo       	1	ACT 11:5
guligulialu         	4
guligulialuaga      	1	COL 4:3
Guliguliasege       	2
guliguliasege       	5
guliguliato         	1	ACT 20:37
Guliguliava         	1	LUK 1:10
guliguliava         	17
guliguliavage       	1	LUK 15:10
guliguliavagei      	2
guliguliavai        	5
guliguliavaito      	1	ACT 8:28
guliguliavaive      	1	ACT 9:31
guliguliavale       	8
guliguliavalivelu   	1	JHN 4:21
guliguliavaluaga    	1	JHN 4:24
guliguliave         	6
guliguliavei        	1	ROM 15:30
guliguliavevale     	1	1PE 1:17
guligulie           	2
guligulile          	5
guligulilu          	9
guligulite          	2
guliguliu           	3
guligulive          	1	HEB 5:7
guliguliveu         	2
guliguliveule       	1	JAS 5:16
Guliki              	13
Gulikia             	12
gulikia             	1	REV 9:11
Gulikie             	1	ACT 17:12
gulila              	1	JHN 20:4
gulile              	4
guliu               	14
gulu                	1	MAT 23:25
Guluai              	1	2CO 9:10
gulualive           	1	MAT 18:5
gulubu              	2
gusu                	6
gusuage             	1	MAT 13:15
gusuai              	7
gusualu             	3
gusuasege           	1	LUK 23:45
gusuaui             	1	MAT 6:23
gusuava             	1	LUK 11:35
gusubeu             	1	1JN 1:5
gusuige             	1	ACT 22:11
gusule              	4
gusutilu            	1	JHN 12:40
gutu                	7
Gutu                	1	ACT 3:1
gutua               	1	ACT 20:31
gutuage             	4
Gutuage             	1	JHN 6:16
gutualu             	3
Gutuasege           	1	MRK 6:47
gutuige             	7
gutulakou           	1	MAT 14:15
gutule              	7
Gutule              	1	LUK 4:40
gutulega            	1	ACT 4:3
gutulovi            	1	MAT 9:10
gututa              	6
Gututa              	1	2TH 1:11
gutuvaivila         	1	MAT 16:2
gutuvele            	2
haba                	3
habata              	1	REV 11:9
habave              	1	LUK 12:16
habavege            	1	ACT 10:5
hada                	8
hadaeavage          	3
hadaeavale          	1	JAS 1:6
hadaeavalu          	2
hadaeleti           	1	LUK 16:7
hadaeveavalivelu    	1	MRK 3:9
hadahada            	1	HEB 12:28
hadahadai           	1	LUK 24:38
hadahadaulu         	1	LUK 1:12
hadai               	9
hadalive            	1	2TI 2:19
hadalivelu          	1	HEB 6:19
hadalu              	5
hadasege            	1	MAT 27:54
hadasite            	2
hadasitekeu         	1	MAT 15:31
hadasolilu          	1	MAT 8:6
hadatilu            	2
hadaviliviliai      	2
hade                	13
Hade                	1	1CO 3:12
hadebilivelu        	1	1PE 2:6
hadele              	4
hadeleti            	16
hadelu              	1	MRK 12:10
hadetisi            	1	LUK 20:17
hadetivale          	2
hadeu               	1	EPH 2:20
hadevai             	1	MAT 7:25
hae                 	1	JHN 18:24
haea                	3
haeavai             	4
haebulisiti         	1	MRK 14:53
Haegi               	1	REV 4:3
haegiu              	1	REV 4:3
haeto               	2
hagoai              	3
Hagoai              	1	LUK 1:9
hagoale             	1	EPH 5:2
hagote              	30
hagoteta            	2
hagou               	2
hagove              	3
hagoveta            	1	MAT 7:16
hahanai             	1	MAT 18:12
hahata              	1	REV 5:9
hahavale            	1	JHN 4:34
hahumu              	1	LUK 13:7
hai                 	6
Hai                 	3
haia                	2
haiage              	8
haiai               	10
haiaia              	1	MAT 26:21
haiaii              	1	2TI 3:4
haiale              	8
haialu              	8
haiavale            	2
haiei               	1	ACT 1:21
haigevei            	1	MAT 13:1
haile               	1	MAT 27:3
Haimeneasi          	1	1TI 1:20
haitiai             	1	MAT 8:14
haiu                	1	MAT 26:48
haivai              	2
haivava             	1	2CO 11:4
haivavale           	1	MRK 12:38
haivaveale          	1	2TH 3:6
haive               	84
haiveale            	31
haivealeke          	2
haivealela          	1	1TH 4:15
haivealelu          	1	ACT 27:25
haivealu            	1	MAT 5:19
haivedua            	1	EPH 5:19
haiveei             	1	2CO 10:16
haivege             	153
haivegei            	21
haivegeisege        	1	GAL 6:6
haivegelive         	4
haivegelu           	2
haivegeto           	3
haivegeve           	1	COL 4:5
haivei              	234
Haivei              	4
haiveilogo          	1	MRK 12:35
haiveioivale        	1	MRK 2:6
haiveitai           	1	MAT 28:20
haiveite            	1	LUK 8:39
haiveitee           	1	MRK 4:20
haiveitiale         	1	MRK 14:9
haiveitilu          	1	MRK 7:36
haiveito            	7
haiveive            	1	3JN 1:7
haivekale           	1	MAT 17:9
haivel              	1	ACT 12:17
haivela             	1	1TH 2:4
haivele             	1	2TI 2:14
haivelive           	7
haivelivelu         	20
haivelogo           	1	MAT 8:1
haiveloho           	3
haivelu             	112
haiveluaga          	3
haiveluga           	2
haivesege           	18
haiveso             	1	ACT 23:11
haiveva             	97
haivevaga           	12
haivevale           	73
haivevalekeu        	1	1CO 15:15
haivevalelu         	1	PHP 2:16
haiveve             	23
haivevea            	1	MAT 21:23
haivu               	3
haivuale            	19
haivualeke          	1	MAT 2:22
haivualela          	1	1CO 7:40
haivue              	3
haivuevelu          	1	LUK 9:10
haivuge             	20
haivui              	26
haivuito            	1	PHP 2:23
haivula             	1	ACT 8:31
haivulage           	1	EPH 3:3
haivulivelu         	2
haivulu             	19
haivuva             	4
haivuve             	1	MAT 2:8
halani              	1	ACT 7:2
Halani              	1	ACT 7:4
haleluia            	1	REV 19:1
Haleluia            	1	REV 19:3
halo                	1	JHN 19:3
haluluvi            	2
haluluvia           	1	1CO 12:9
haluluviabe         	1	LUK 6:18
haluluviale         	5
haluluviava         	1	1CO 11:30
haluluvite          	9
haluluvitea         	1	LUK 10:9
hama                	1	REV 16:18
hamage              	1	REV 9:9
hamagelive          	1	JAS 4:9
hamai               	8
hamasege            	1	ACT 17:32
hamavale            	1	LUK 6:25
hamave              	1	LUK 6:21
Hameneasi           	1	2TI 2:17
hamivale            	1	HEB 2:4
hamu                	7
Hamu                	2
hamubisi            	1	JAS 5:5
hamule              	2
hamuu               	1	HEB 12:26
hana                	3
hanae               	1	REV 16:4
hanaetige           	1	REV 7:17
hanage              	1	REV 17:11
hanai               	1	JHN 7:38
Hanai               	1	REV 22:2
hanale              	1	REV 21:6
hanalu              	2
hanava              	14
hanavagau           	3
hanavage            	163
Hanavage            	1	LUK 23:17
hanavageeau         	1	2TH 2:11
hanavagei           	1	2CO 10:1
hanavai             	33
hanavalau           	1	ACT 7:35
hanavale            	42
Hanavale            	1	REV 12:16
hanavalelu          	1	LUK 4:43
hanavalive          	1	ACT 23:21
hanavalivelu        	5
hanavalu            	74
hanavaluage         	1	ACT 25:26
hanavave            	1	COL 4:16
hanave              	4
hanaveale           	8
hanavealeke         	1	JHN 1:22
hanavegabo          	1	GAL 4:30
hanavege            	95
Hanavege            	1	MRK 6:36
hanavegei           	1	LUK 8:31
hanavegelu          	1	MRK 6:45
hanavei             	12
hanavekavalive      	1	MAT 15:32
hanavele            	1	JHN 20:21
hanavelive          	1	MRK 5:10
hanavelu            	19
hanaveva            	3
hanaviva            	13
hanavivale          	1	2CO 10:11
handele             	6
handeledi           	1	MAT 13:23
handeleli           	1	MAT 18:28
handeleti           	9
hani                	1	REV 10:9
Hani                	1	REV 18:7
haniage             	4
haniai              	6
haniale             	2
hanialu             	3
haniavale           	1	LUK 6:25
hanideleti          	1	ROM 4:19
hanisuvei           	1	ROM 15:32
hanita              	1	LUK 11:7
hanite              	4
hanivava            	1	EPH 2:9
hanivavage          	1	LUK 18:14
hanivavai           	6
hanivavale          	1	JAS 1:21
hanivavalive        	2
hanivavalivelu      	1	1CO 9:16
hanivavava          	1	MAT 6:7
hanunu              	10
Hanunu              	1	ACT 27:20
haovole             	2
hase                	1	REV 4:2
hasilate            	1	JHN 15:6
hasive              	1	HEB 9:19
hasivea             	1	JHN 15:5
hata                	2
hatala              	1	JHN 12:29
hatau               	8
hatiti              	23
Hatiti              	1	REV 18:8
hatitiabe           	1	MRK 6:5
hatitiage           	5
hatitiai            	2
hatitiale           	4
hatitialeu          	2
hatitialu           	4
hatitiavale         	7
hatitita            	1	GAL 4:13
hatitite            	17
hatititi            	1	LUK 9:2
hatitiu             	2
hatitive            	3
hatitiveu           	3
hau                 	553
Hau                 	12
HAU                 	2
haua                	9
hauage              	2
hauagei             	4
hauagelive          	1	JHN 6:27
hauai               	55
hauaiabe            	1	TIT 2:10
hauailoi            	1	MAT 20:12
hauaito             	3
hauale              	18
haualivelu          	3
haualivelubele      	1	MAT 6:24
haualu              	6
haualuaga           	3
hauasege            	2
hauava              	1	1PE 2:18
hauavaga            	1	MAT 12:20
hauavale            	13
hauave              	5
hauavei             	2
haube               	14
haubelu             	1	JHN 14:14
haubeta             	3
haubeu              	1	LUK 1:37
haudua              	6
haue                	8
hauesite            	1	1CO 13:3
hauia               	4
hauiabe             	10
hauiabea            	12
hauiabeu            	5
hauiala             	1	LUK 15:31
hauiale             	2
hauige              	2
hauila              	1	2TH 3:11
hauiva              	16
hauivaga            	3
hauivale            	49
haukala             	40
haukalale           	3
haukalalu           	1	REV 21:8
haukalatele         	1	HEB 3:6
haukalau            	1	ACT 6:7
haukalave           	5
haukavai            	1	1PE 2:19
hauke               	6
hauko               	2
haukole             	1	MRK 10:30
haula               	3
haulau              	1	1PE 1:4
haule               	35
haulega             	1	ROM 8:36
hauleke             	1	REV 6:1
haulekea            	1	REV 5:9
haulu               	11
haumage             	1	JHN 13:5
haumai              	1	LUK 6:1
hauta               	5
haute               	10
hautelu             	1	1CO 6:10
hauteta             	1	GAL 4:30
hautoela            	1	JHN 5:14
hauva               	1	PHP 3:12
hauvai              	3
Hauve               	3
hauve               	82
hauvea              	1	LUK 21:2
hauveke             	1	JHN 5:36
hauvela             	2
hauvele             	3
hauveta             	1	1CO 3:15
hauveu              	5
hauveve             	1	REV 18:12
hauvole             	1	JHN 13:29
hauvolela           	1	MRK 5:42
hava                	1	MAT 26:40
havagau             	1	ACT 3:13
havage              	4
havai               	1	REV 2:26
havaisi             	1	ACT 5:10
havale              	1	MAT 24:46
havalu              	1	JHN 17:25
havava              	1	REV 2:2
havavege            	1	MAT 23:37
havelive            	1	MAT 9:30
havivale            	2
havivevale          	1	MRK 4:2
havuge              	1	ACT 7:22
havulu              	1	ACT 18:26
hebulu              	39
Hebulu              	2
hebuluta            	1	MAT 8:26
hedaka              	1	ACT 3:11
hedakale            	1	ACT 5:12
hedakave            	1	JHN 10:23
hediloni            	1	MAT 1:3
hedimai             	1	MAT 22:13
hehavale            	1	LUK 3:5
heiata              	1	HEB 12:8
Heiga               	2
heiuva              	1	MAT 18:10
Helabolisi          	1	COL 4:13
helaga              	2
Helaga              	3
helaga'             	1	JHN 20:22
helagau             	1	1CO 2:13
Heli                	2
Heloda              	21
Helodake            	1	MRK 6:16
Helodata            	1	MRK 6:14
Helodau             	23
Helodi              	10
Helodiesi           	4
Helodiu             	3
Hemasi              	1	ROM 16:14
Hemesi              	1	ACT 14:12
Hemisi              	1	ROM 16:14
Hemogenesi          	1	2TI 1:15
Heseloni            	2
hhamai              	1	REV 16:10
Hibulu              	1	2CO 11:22
Hibuluia            	3
hibuluia            	1	REV 16:16
hieaseavalu         	1	JHN 6:11
himi                	1	MAT 27:23
hisobi              	1	HEB 9:19
hoaeseavege         	1	ACT 20:32
hoahoagelive        	1	1CO 15:58
hoaseavai           	1	JHN 12:26
hoasevei            	1	1TI 5:4
hoba                	2
hobeai              	1	ACT 28:8
hodoaveta           	1	JHN 8:2
hodobulu            	1	REV 16:12
hodota              	5
hodovue             	11
hodovui             	1	REV 2:5
hodovulivelu        	1	JHN 1:5
hodovuve            	1	MAT 12:20
hoduvue             	1	MAT 18:8
hoea                	3
hoeasava            	1	LUK 18:38
hoeasavaeviva       	1	ACT 19:27
hoeasavai           	3
hoeasavalivelu      	1	ACT 3:8
hoeasavalu          	1	HEB 7:6
hoeasavegei         	1	1TH 5:28
hoeasavei           	2
hoeasea             	6
Hoeasea             	2
hoeaseaavaeviva     	1	ACT 7:43
hoeaseai            	2
hoeaseaieve         	1	MRK 4:23
hoeasealelu         	1	ACT 7:43
hoeaseav            	1	MAT 6:33
hoeaseava           	46
hoeaseavabeto       	1	2CO 12:11
hoeaseavae          	1	REV 4:10
hoeaseavaeaviva     	2
hoeaseavaevelu      	2
hoeaseavaeviva      	34
hoeaseavaevivale    	1	1CO 10:14
hoeaseavage         	46
hoeaseavagei        	22
hoeaseavageva       	1	2CO 6:6
hoeaseavageve       	2
hoeaseavai          	166
Hoeaseavai          	1	EPH 5:29
hoeaseavaito        	6
hoeaseavala         	1	ROM 4:10
hoeaseavale         	79
hoeaseavaleively    	1	HEB 8:3
hoeaseavalelu       	2
hoeaseavali         	1	MRK 6:4
hoeaseavalive       	4
hoeaseavalivelu     	19
hoeaseavaliveluga   	1	ACT 7:42
hoeaseavalu         	59
hoeaseavasege       	4
hoeaseavava         	4
hoeaseavave         	26
hoeaseavavelu       	1	MAT 12:22
hoeaseave           	25
hoeaseaveale        	1	ACT 11:23
hoeaseaveavale      	1	ROM 2:29
hoeaseavege         	51
Hoeaseavege         	1	2CO 8:23
hoeaseavegei        	8
hoeaseavegeve       	8
hoeaseavei          	141
Hoeaseaveito        	1	LUK 24:51
hoeaseavele         	1	1CO 8:4
hoeaseaveleke       	1	ACT 20:24
hoeaseavelivelu     	5
hoeaseavelu         	37
hoeaseaveva         	13
hoeaseavevale       	4
hoeaseaveve         	24
hoeaseavigei        	1	ROM 9:5
hoeaseaviva         	3
hoeaseavreviva      	1	REV 4:9
hoeasei             	2
hoeasevai           	1	REV 14:11
hoeasevale          	1	1CO 1:2
hoeaseve            	1	ROM 8:39
hoeaseveale         	5
hoeasevege          	4
hoeasevei           	5
Hoeasevei           	1	2CO 8:24
hoeasevelu          	1	GAL 3:24
hoeaseveve          	3
hoeava              	1	MAT 25:36
hoesea              	1	MAT 17:16
Hoesea              	1	EPH 3:21
hoeseava            	3
hoeseavage          	3
hoeseavagei         	1	1PE 1:3
hoeseavai           	2
hoeseavaitoba       	1	MAT 6:24
hoeseavale          	3
hoeseavalu          	1	MAT 9:8
hoeseavave          	2
hoeseavege          	2
hoeseavei           	2
hoeseaveva          	1	2CO 6:8
hoeseaveve          	1	MAT 10:8
hoesevei            	1	1JN 1:3
hogogelu            	2
hogolaha            	2
hogolahai           	1	MRK 7:24
hogolahale          	3
hogolahalivelu      	1	MRK 4:22
hogolahalively      	1	HEB 4:13
hogolai             	1	MAT 26:58
hogoluviale         	1	REV 1:1
hogoluvilivelu      	1	HEB 4:13
hogoluvilu          	2
hogoluvisege        	1	REV 6:15
hogoluvisi          	3
hohoale             	1	MAT 15:28
hohoalivelu         	1	REV 3:5
hoholahai           	1	JAS 4:14
holige              	1	MRK 7:32
holilu              	3
holisege            	2
holisi              	26
holo                	5
Holo                	1	MAT 13:38
holoai              	1	MAT 5:30
holoea              	3
hololu              	2
holou               	1	MAT 18:9
holuai              	1	MAT 18:29
homase              	1	LUK 18:1
homasi              	19
Homasi              	1	REV 14:12
homasia             	1	REV 3:16
homasiaevelu        	1	MAT 24:12
homasiaevevale      	1	JAS 5:7
homasiaeviva        	1	ACT 7:51
homasiaevivw        	1	1TI 1:9
homasiage           	4
homasiagei          	1	LUK 9:62
homasiai            	19
homasiaive          	1	1TH 2:1
homasiale           	2
homasialive         	3
homasialivelu       	2
homasialu           	37
homasialuaga        	1	MAT 11:6
homasiana           	1	REV 2:2
homasiava           	11
homasiavaevelu      	2
homasiavage         	4
homasiavai          	31
homasiavaito        	1	2CO 11:4
homasiavale         	17
homasiavalive       	6
homasiavalivelu     	4
homasiavalu         	13
homasiavaluaga      	1	ACT 13:41
homasiave           	2
homasiavege         	1	1CO 13:1
homasiavei          	9
homasiaveive        	1	ACT 5:13
homasiavelu         	3
homasie             	4
homastalou          	1	REV 2:6
homo                	4
homove              	1	ACT 8:32
honasialive         	1	MAT 5:42
hosibe              	1	MAT 25:36
hosidievege         	1	1JN 5:16
hosidige            	1	EPH 6:4
hosivalivelu        	1	MRK 1:24
Housea              	1	ROM 9:25
hovoi               	1	REV 14:8
hovolivelu          	1	LUK 5:6
huai                	1	LUK 17:33
huaui               	1	MAT 24:36
Huha                	1	2TI 2:8
huhive              	1	ROM 11:34
huhu                	54
huhua               	21
Huhua               	1	2TI 2:7
huhuabeta           	1	1CO 13:11
huhuaelive          	1	HEB 10:35
huhuaevei           	2
huhuaevelu          	1	LUK 24:8
huhuaeveva          	2
huhuaevevale        	2
huhuaeviva          	2
huhuaevivale        	1	2CO 12:13
huhuaga             	1	MRK 12:12
huhuage             	17
huhuagei            	3
huhuagelive         	6
huhuageve           	2
huhuai              	300
HUHUAI              	1	REV 2:9
huhuaievevale       	1	1TI 1:4
huhuaigelive        	1	1JN 2:15
huhuaito            	3
huhuaiuge           	1	MAT 7:14
huhuaive            	8
huhuale             	13
Huhuale             	1	2TH 2:11
huhualela           	1	MRK 1:24
huhualive           	8
huhualivelu         	21
huhualoho           	1	LUK 15:20
huhualu             	49
huhualuaga          	7
huhuava             	2
huhuave             	41
huhuavegelive       	1	LUK 21:34
huhuavei            	3
huhuavevale         	1	1PE 4:5
huhudua             	2
huhue               	67
huhuevegei          	1	LUK 1:55
huhuevei            	1	PHM 1:25
huhuevelu           	1	2TH 3:7
huhuge              	7
huhugeale           	1	EPH 2:5
huhugei             	61
huhugeva            	1	ROM 15:4
huhugeve            	1	JUD 1:7
huhuhai             	1	REV 2:12-13
huhui               	202
Huhui               	6
HUHUI               	1	REV 2:9
huhuia              	1	1CO 13:11
huhuiabe            	25
huhuiabele          	1	ROM 11:9
huhuiabeu           	6
Huhuiabeu           	1	MRK 4:12
huhuiai             	1	MAT 5:32
huhuibe             	1	GAL 1:12
huhuibeto           	1	HEB 11:15
huhuievelivelu      	1	LUK 14:26
huhuige             	262
huhuigei            	1	ACT 7:8
huhuigeve           	1	1CO 11:25
huhuihuhui          	3
huhuihuhuile        	1	2PE 1:20
huhuihuile          	1	2PE 2:18
huhuii              	1	2TI 3:10
huhuila             	2
huhuilage           	1	1JN 2:14
huhuile             	9
huhuise             	1	REV 3:8
huhuisege           	1	HEB 13:4
huhuitale           	2
huhuite             	7
huhuitele           	2
huhuiti             	1	ROM 7:23
huhuitoela          	2
huhuiu              	2
huhuiva             	3
huhuivale           	13
Huhuive             	1	MRK 5:29
huhuive             	2
huhuiveu            	1	MRK 7:20
huhumoeaga          	1	MAT 10:4
huhunelege          	1	2CO 3:5
huihui              	2
humasiave           	1	JAS 4:7
humulu              	1	MAT 24:32
humuluvai           	1	LUK 21:30
huuaevelu           	1	JHN 10:14
huualu              	1	JAS 2:22
huugei              	1	EPH 4:2
hyatira             	1	REV 2:18
I                   	7
i                   	16
ia                  	11
Ia                  	2
iaa                 	1	2TI 4:21
iabe                	2
iae                 	87
iaeabela            	1	ACT 3:8
iaeabeo             	1	LUK 24:15
iaega               	2
iage                	2
Iai                 	1	REV 10:8
Iala                	1	ACT 14:15
iala                	1	1CO 4:9
Ialale              	1	HEB 6:10
iale                	359
Iale                	490
IALE                	2
ialebau             	1	LUK 24:41
Ialekele            	6
ialela              	2
ialelu              	69
Ialelu              	56
IALELU              	1	REV 2:10
ialeluga            	1	1JN 2:19
Ialeto              	1	JHN 18:9
ialeu               	2
Ialeu               	1	ACT 11:30
Iali                	1	2TH 1:7
ialiialiavai        	1	LUK 22:54
ialu                	1	MAT 19:9
iatele              	3
iatilu              	1	REV 16:19
iative              	2
iava                	2
iavai               	1	MAT 6:12
iave                	4
iavela              	2
iavele              	4
iaveo               	3
iavetale            	1	REV 5:1
iavu                	1	JHN 18:11
iavui               	1	JHN 12:6
Ibelemi             	1	JHN 11:54
ibi                 	1	MRK 14:11
ibila               	80
Ibila               	1	REV 21:6
ibilaeabe           	23
ibilai              	1	2TI 4:14
ibilala             	2
ibilalaeabe         	1	MAT 20:8
ibilalau            	1	MAT 26:52
ibilalu             	41
ibilalugau          	1	1CO 15:3
ibilao              	1	REV 2:29
ibilate             	2
ibilatelu           	2
ibilau              	3
ibilauga            	1	REV 18:20
ibilave             	74
ibilavela           	9
Ibilavela           	1	REV 16:6
ibilavelau          	2
ibilavelu           	20
ibilaveluga         	1	1CO 9:12
ibilavelugau        	1	ROM 4:25
ibilaveu            	6
ibilavu             	3
Idi                 	5
idi                 	57
Idia                	1	MAT 12:33
idia                	1	LUK 21:29
ididote             	1	MRK 15:24
idihumute           	1	MAT 6:29
idii                	12
Idii                	1	MAT 7:19
idike               	3
idile               	14
Idile               	1	MAT 27:35
Idiobia             	1	ACT 8:27
Idiobie             	1	ACT 8:27
Idiobiti            	12
Idiobitie           	4
Idiovitie           	1	ACT 7:40
idita               	3
idite               	1	ROM 11:17
idiu                	77
Idiu                	2
idiudua             	1	MAT 7:17
idive               	1	MAT 27:32
idu                 	3
Idumea              	1	MRK 3:8
idumu               	1	COL 2:7
idumuta             	1	MAT 13:29
idumuve             	1	MRK 4:17
idumuvea            	1	EPH 3:17
idumuveu            	3
ie                  	21
ieae                	3
ieale               	2
IEAU                	1	MAT 3:17
iee                 	1	MAT 6:16
iei                 	3
Iei                 	2
IES                 	1	LUK 23:52
Iesa                	1	REV 1:5
iesavai             	1	ROM 14:6
IESEU               	1	JHN 13:35
iesi                	3
iesite              	1	TIT 1:6
iesolialelu         	1	LUK 4:2
iesolilu            	1	GAL 2:12
iesoliva            	1	1CO 11:20
iesolivale          	2
IESU                	1680
Iesu                	1021
iesu                	25
iESU                	6
IESu                	1	PHM 1:8
IESUa               	1	LUK 8:2
IESUau              	1	MAT 10:1
IESUavoe            	1	MAT 10:25
Iesue               	1	JHN 1:42
Iesuke              	2
IesuKeliso          	1	2TI 1:9
Iesula              	2
IESUla              	8
IESUlake            	1	JHN 15:27
Iesulavigei         	1	MAT 22:29
Iesule              	6
IESUle              	16
iesule              	1	REV 1:7
Iesulu              	10
IESUlu              	12
Iesuta              	2
IESUta              	7
Iesuti              	1	MAT 6:29
IESUti              	4
iesuu               	3
Iesuu               	158
IESUu               	1	ACT 2:24
Iesuula             	1	MAT 28:5
Iesuulavigei        	1	MAT 26:40
Iesuvea             	1	MRK 5:21
Ieu                 	1	MAT 21:6
ieu                 	1	REV 9:11
ieve                	1	1CO 15:37
ievegelive          	3
ievei               	3
ievelive            	2
ievelivelu          	1	MAT 25:10
ievelu              	8
ieveu               	1	LUK 17:6
ievevale            	1	ACT 21:25
ieviva              	2
ievivaga            	1	MRK 6:42
ievivale            	4
iga                 	3
Iga                 	2
igal                	1	2JN 1:9
igalali             	1	JHN 9:25
igale               	1	REV 18:10
igalgaliai          	1	1PE 4:10
igali               	301
Igali               	2
igalia              	5
igaliage            	1	PHM 1:16
igaliai             	5
igaliala            	3
igaliale            	5
igalialivelu        	1	2CO 6:15
igalialu            	3
Igaliave            	1	MRK 8:14
igaliave            	7
igaliaveke          	1	MAT 18:12
igaliavela          	1	LUK 7:12
igaliaveu           	2
igalie              	1	MAT 20:13
igaligali           	19
igaligalia          	3
igaligaliai         	53
Igaligaliaive       	1	REV 4:4
igaligalila         	3
igaligalile         	6
igalikele           	1	LUK 17:4
igalila             	44
igalilau            	1	HEB 10:26
igalile             	49
igalilega           	2
igalilu             	1	HEB 9:28
igaliluga           	1	MRK 8:12
igalioalu           	1	REV 3:16
igalita             	59
igalitaea           	3
igalitai            	2
igalitale           	3
igalitau            	22
igalitaule          	3
igalito             	4
igalitoa            	1	1CO 15:40
igalitoage          	2
igalitoai           	48
igalitoale          	4
igalitoalivelu      	1	1CO 10:20
igalitoalivelubele  	1	MAT 9:17
igalitoalu          	9
igalitoi            	1	1JN 1:3
igaliu              	64
igaliule            	8
igau                	1	MRK 15:23
ige                 	1275
Ige                 	2006
IGe                 	1	MAT 3:15
igeataea            	1	JHN 2:11
igeatilu            	1	REV 19:21
igeau               	1	LUK 13:9
IgeDisaiboloea      	1	MAT 15:33
Igee                	1	MAT 25:17
igee                	1	MRK 2:24
igei                	13
Igeke               	1	MRK 4:17
igelavigei          	1	MRK 11:3
